Dia,nome_fundo,cnpj_do_fundo,classe_do_fundo,mercado_ativo_investido,Symbol_Ativo_Investido,PL_Investido
2020-01-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,DEB-ENGI11-2027,131096699.44268991
2020-01-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,DEB-VALE25-2029,99745979.5555869
2020-01-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,CRI-MRVL11-2028,78729762.88036606
2020-01-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,CRA-JBSB11-2027,65740735.82521391
2020-01-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,136737112.0254019
2020-01-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Tesouro Direto,TESOURO-IPCA-2035,63225130.15197617
2020-01-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Fundo,FIC-FIRF-DI,44188629.22418476
2020-01-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,100200045.70236668
2020-01-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Tesouro Direto,TESOURO-PRE-2029,57705585.300212584
2020-01-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Renda Fixa Privada,CRA-JBSB11-2027,49602734.24413046
2020-01-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Renda Fixa Privada,CDB-BBAS3-2026,53824677.06023077
2020-01-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Fundo,FIC-FIRF-CRED,57691798.44672652
2020-01-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,IVVB11,52505348.8616999
2020-01-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,BOVA11,27382911.529360786
2020-01-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,HGLG11,16055147.711039912
2020-01-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Tesouro Direto,TESOURO-SEL-2027,53188515.22458055
2020-01-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Renda Fixa Privada,CRA-JBSB11-2027,32998552.96949606
2020-01-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Fundo,FIC-MM-MACRO,72214529.01702227
2020-01-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,BOVA11,68022425.9872063
2020-01-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,VALE3,49924039.47489752
2020-01-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,PETR4,35677521.263861895
2020-01-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,HGLG11,18340072.234851193
2020-01-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,AAPL34,26829006.304628406
2020-01-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,IVVB11,32787959.016335733
2020-01-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Fundo,FIC-RV-IBOV,77124544.51533462
2020-02-29,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,DEB-ENGI11-2027,135540714.38210693
2020-02-29,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,DEB-VALE25-2029,104087935.62892035
2020-02-29,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,CRI-MRVL11-2028,77926247.12552947
2020-02-29,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,CRA-JBSB11-2027,68064045.81880541
2020-02-29,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,146979864.30809522
2020-02-29,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Tesouro Direto,TESOURO-IPCA-2035,60957729.42622303
2020-02-29,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Fundo,FIC-FIRF-DI,45090120.77915594
2020-02-29,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,112609418.46365112
2020-02-29,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Tesouro Direto,TESOURO-PRE-2029,66575764.7203734
2020-02-29,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Renda Fixa Privada,CRA-JBSB11-2027,58029138.55869422
2020-02-29,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Renda Fixa Privada,CDB-BBAS3-2026,59531825.33951269
2020-02-29,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Fundo,FIC-FIRF-CRED,63361501.4537589
2020-02-29,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,IVVB11,56303592.99230217
2020-02-29,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,BOVA11,28556887.544020783
2020-02-29,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,HGLG11,16612571.41877984
2020-02-29,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Tesouro Direto,TESOURO-SEL-2027,57877856.144331135
2020-02-29,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Renda Fixa Privada,CRA-JBSB11-2027,37283279.26472784
2020-02-29,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Fundo,FIC-MM-MACRO,76961528.64449687
2020-02-29,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,BOVA11,64183839.77213138
2020-02-29,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,VALE3,48148774.02411656
2020-02-29,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,PETR4,31050602.993649237
2020-02-29,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,HGLG11,17354234.610793956
2020-02-29,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,AAPL34,23874495.075946767
2020-02-29,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,IVVB11,34568492.46871506
2020-02-29,AMW Titan RV,12.345.678/0001-07,Renda Variável,Fundo,FIC-RV-IBOV,74144623.57610981
2020-03-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,DEB-ENGI11-2027,141859164.7245953
2020-03-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,DEB-VALE25-2029,106310587.97101532
2020-03-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,CRI-MRVL11-2028,78831630.48311241
2020-03-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,CRA-JBSB11-2027,71585569.12376961
2020-03-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,144083434.13624132
2020-03-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Tesouro Direto,TESOURO-IPCA-2035,62128145.255356796
2020-03-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Fundo,FIC-FIRF-DI,49147119.45952322
2020-03-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,111994086.76718874
2020-03-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Tesouro Direto,TESOURO-PRE-2029,69367395.68047556
2020-03-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Renda Fixa Privada,CRA-JBSB11-2027,58117667.89836887
2020-03-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Renda Fixa Privada,CDB-BBAS3-2026,56604878.857831426
2020-03-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Fundo,FIC-FIRF-CRED,64099282.29994573
2020-03-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,IVVB11,51818306.70576692
2020-03-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,BOVA11,27329266.26217296
2020-03-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,HGLG11,14147518.718955304
2020-03-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Tesouro Direto,TESOURO-SEL-2027,55909691.800943375
2020-03-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Renda Fixa Privada,CRA-JBSB11-2027,34190370.02079222
2020-03-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Fundo,FIC-MM-MACRO,73003104.13693456
2020-03-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,BOVA11,63749971.509560734
2020-03-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,VALE3,48004468.14433329
2020-03-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,PETR4,33024995.538932476
2020-03-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,HGLG11,17792007.47019709
2020-03-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,AAPL34,23456022.012377992
2020-03-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,IVVB11,32959074.060186107
2020-03-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Fundo,FIC-RV-IBOV,76369677.10057741
2020-04-30,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,DEB-ENGI11-2027,125357349.23883635
2020-04-30,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,DEB-VALE25-2029,92765762.2300061
2020-04-30,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,CRI-MRVL11-2028,71370959.04646996
2020-04-30,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,CRA-JBSB11-2027,61319009.55467209
2020-04-30,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,124740206.45801172
2020-04-30,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Tesouro Direto,TESOURO-IPCA-2035,55267734.740882605
2020-04-30,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Fundo,FIC-FIRF-DI,42561902.65322604
2020-04-30,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,93225628.19783843
2020-04-30,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Tesouro Direto,TESOURO-PRE-2029,55160423.03990419
2020-04-30,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Renda Fixa Privada,CRA-JBSB11-2027,49878670.95941511
2020-04-30,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Renda Fixa Privada,CDB-BBAS3-2026,45368388.22349782
2020-04-30,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Fundo,FIC-FIRF-CRED,52440869.97776682
2020-04-30,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Renda Fixa Privada,LF-ITAU-2029,23647667.346102826
2020-04-30,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Renda Fixa Privada,CRI-MRVL11-2028,20306428.512614448
2020-04-30,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Tesouro Direto,TESOURO-IPCA-2035,31776511.03833617
2020-04-30,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,20567650.04773571
2020-04-30,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Fundo,FIC-FIRF-DI,15997248.938410973
2020-04-30,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,IVVB11,49217561.5054519
2020-04-30,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,BOVA11,26007108.509677228
2020-04-30,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,HGLG11,13390057.316427609
2020-04-30,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Tesouro Direto,TESOURO-SEL-2027,54047546.56358207
2020-04-30,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Renda Fixa Privada,CRA-JBSB11-2027,35197353.75847742
2020-04-30,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Fundo,FIC-MM-MACRO,72350980.50130276
2020-04-30,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,BOVA11,57144847.19872752
2020-04-30,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,VALE3,43700898.939753644
2020-04-30,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,PETR4,28359635.248376995
2020-04-30,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,HGLG11,14754497.4386925
2020-04-30,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,AAPL34,19870159.654216085
